,Steps_m,Calories_m,METs_m,Intensity_m,Calories_d,StepTotal_d,ID_d,DATA_LOST,SYNCH,Date
2020-12-31,7711,1972.9156521558803,1.3465277777777778,0.19652777777777777,1972,7711,Fitbit sample 1,False,True,2020-12-31
2021-01-01,10689,2077.9160903692255,1.4233333333333333,0.23819444444444443,2080,10716,Fitbit sample 1,False,True,2021-01-01
2021-01-02,11509,2155.8578563928613,1.4797222222222224,0.2701388888888889,2157,11513,Fitbit sample 1,False,True,2021-01-02
2021-01-03,7345,1841.0930525064484,1.2533333333333334,0.16458333333333333,1842,7347,Fitbit sample 1,False,True,2021-01-03
2021-01-04,7058,1894.5843324661266,1.2940972222222222,0.17291666666666666,1894,7058,Fitbit sample 1,False,True,2021-01-04
2021-01-05,6436,1880.9070568084726,1.2847222222222223,0.17222222222222222,1882,6438,Fitbit sample 1,False,True,2021-01-05
2021-01-06,8207,1972.9008173942573,1.3509027777777778,0.21180555555555555,1972,8207,Fitbit sample 1,False,True,2021-01-06
2021-01-07,7412,1910.6972959041605,1.305763888888889,0.19166666666666668,1910,7412,Fitbit sample 1,False,True,2021-01-07
2021-01-08,6380,1812.7080106735248,1.2334722222222223,0.12638888888888888,1812,6380,Fitbit sample 1,False,True,2021-01-08
2021-01-09,9606,2020.583934903146,1.3830555555555555,0.21805555555555556,2020,9606,Fitbit sample 1,False,True,2021-01-09
2021-01-10,9422,1978.6152936220183,1.3514583333333332,0.19166666666666668,1979,9434,Fitbit sample 1,False,True,2021-01-10
2021-01-11,6676,1905.5448940992367,1.303125,0.1951388888888889,1905,6676,Fitbit sample 1,False,True,2021-01-11
2021-01-12,5426,1770.6456931829468,1.2047222222222222,0.13402777777777777,1770,5432,Fitbit sample 1,False,True,2021-01-12
2021-01-13,8436,1984.9855338335049,1.3581944444444445,0.2222222222222222,1987,8463,Fitbit sample 1,False,True,2021-01-13
2021-01-14,7305,1878.002970337869,1.2805555555555554,0.18472222222222223,1878,7305,Fitbit sample 1,False,True,2021-01-14
2021-01-15,8786,2020.864976644517,1.3850694444444445,0.21458333333333332,2022,8786,Fitbit sample 1,False,True,2021-01-15
2021-01-16,6894,1913.6013768911369,1.308263888888889,0.175,1916,6918,Fitbit sample 1,False,True,2021-01-16
2021-01-17,8921,1926.8102507591266,1.3147916666666666,0.1986111111111111,1929,8949,Fitbit sample 1,False,True,2021-01-17
2021-01-18,14490,2326.636496305466,1.6011805555555554,0.3125,2328,14494,Fitbit sample 1,False,True,2021-01-18
2021-01-19,5888,1852.803054332734,1.265763888888889,0.16527777777777777,1853,5888,Fitbit sample 1,False,True,2021-01-19
2021-01-20,4697,1747.5067331790938,1.1885416666666666,0.12916666666666668,1747,4703,Fitbit sample 1,False,True,2021-01-20
